#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::00 - Foundation::Recognition

きょ	kyo	Ki + yo combo.	Yō-on	consonant + ya/yu/yo → きょ	sound: /kyo/	palatal variant of k		[sound:d9ee3c16a677.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
しゃ	sha	Shi + ya combo.	Yō-on	consonant + ya/yu/yo → しゃ	sound: /sha/	palatal variant of s		[sound:b6e3f9666c7a.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
しゅ	shu	Shi + yu combo.	Yō-on	consonant + ya/yu/yo → しゅ	sound: /shu/	palatal variant of s		[sound:64d073703829.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
しょ	sho	Shi + yo combo.	Yō-on	consonant + ya/yu/yo → しょ	sound: /sho/	palatal variant of s		[sound:7a5aea55155b.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ちゃ	cha	Chi + ya combo.	Yō-on	consonant + ya/yu/yo → ちゃ	sound: /cha/	palatal variant of c		[sound:062957be362f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ちゅ	chu	Chi + yu combo.	Yō-on	consonant + ya/yu/yo → ちゅ	sound: /chu/	palatal variant of c		[sound:619fdc4f9348.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ちょ	cho	Chi + yo combo.	Yō-on	consonant + ya/yu/yo → ちょ	sound: /cho/	palatal variant of c		[sound:4def51326a2d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
にゃ	nya	Ni + ya combo.	Yō-on	consonant + ya/yu/yo → にゃ	sound: /nya/	palatal variant of n		[sound:be4c29664dfd.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
にゅ	nyu	Ni + yu combo.	Yō-on	consonant + ya/yu/yo → にゅ	sound: /nyu/	palatal variant of n		[sound:658da3d97ec6.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
にょ	nyo	Ni + yo combo.	Yō-on	consonant + ya/yu/yo → にょ	sound: /nyo/	palatal variant of n		[sound:0954bcc57525.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ひゃ	hya	Hi + ya combo.	Yō-on	consonant + ya/yu/yo → ひゃ	sound: /hya/	palatal variant of h		[sound:f28cd0be883a.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ひゅ	hyu	Hi + yu combo.	Yō-on	consonant + ya/yu/yo → ひゅ	sound: /hyu/	palatal variant of h		[sound:e0e6bdfbd67b.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ひょ	hyo	Hi + yo combo.	Yō-on	consonant + ya/yu/yo → ひょ	sound: /hyo/	palatal variant of h		[sound:0627f890934c.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
みゃ	mya	Mi + ya combo.	Yō-on	consonant + ya/yu/yo → みゃ	sound: /mya/	palatal variant of m		[sound:0eb0633f6c68.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
みゅ	myu	Mi + yu combo.	Yō-on	consonant + ya/yu/yo → みゅ	sound: /myu/	palatal variant of m		[sound:5bd384349a78.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
みょ	myo	Mi + yo combo.	Yō-on	consonant + ya/yu/yo → みょ	sound: /myo/	palatal variant of m		[sound:6617e33d9583.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
りゃ	rya	Ri + ya combo.	Yō-on	consonant + ya/yu/yo → りゃ	sound: /rya/	palatal variant of r		[sound:f58558332c0c.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
りゅ	ryu	Ri + yu combo.	Yō-on	consonant + ya/yu/yo → りゅ	sound: /ryu/	palatal variant of r		[sound:73c41f0e483e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
りょ	ryo	Ri + yo combo.	Yō-on	consonant + ya/yu/yo → りょ	sound: /ryo/	palatal variant of r		[sound:1ab62bb6d7b6.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぎゃ	gya	Gi + ya combo.	Yō-on	consonant + ya/yu/yo → ぎゃ	sound: /gya/	palatal variant of g		[sound:95e3d0ad8f6f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぎゅ	gyu	Gi + yu combo.	Yō-on	consonant + ya/yu/yo → ぎゅ	sound: /gyu/	palatal variant of g		[sound:81a5e9e8a034.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぎょ	gyo	Gi + yo combo.	Yō-on	consonant + ya/yu/yo → ぎょ	sound: /gyo/	palatal variant of g		[sound:08831cb24c9b.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
じゃ	ja	Ji + ya combo.	Yō-on	consonant + ya/yu/yo → じゃ	sound: /ja/	palatal variant of j		[sound:d91490197bd6.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
じゅ	ju	Ji + yu combo.	Yō-on	consonant + ya/yu/yo → じゅ	sound: /ju/	palatal variant of j		[sound:567ca1db796e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
じょ	jo	Ji + yo combo.	Yō-on	consonant + ya/yu/yo → じょ	sound: /jo/	palatal variant of j		[sound:115759838422.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
びゃ	bya	Bi + ya combo.	Yō-on	consonant + ya/yu/yo → びゃ	sound: /bya/	palatal variant of b		[sound:4d8780b09f52.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
びゅ	byu	Bi + yu combo.	Yō-on	consonant + ya/yu/yo → びゅ	sound: /byu/	palatal variant of b		[sound:747dbd8ebca5.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
びょ	byo	Bi + yo combo.	Yō-on	consonant + ya/yu/yo → びょ	sound: /byo/	palatal variant of b		[sound:0a1cc845facd.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぴゃ	pya	Pi + ya combo.	Yō-on	consonant + ya/yu/yo → ぴゃ	sound: /pya/	palatal variant of p		[sound:ef826d2af5c0.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぴゅ	pyu	Pi + yu combo.	Yō-on	consonant + ya/yu/yo → ぴゅ	sound: /pyu/	palatal variant of p		[sound:984576b5cea2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぴょ	pyo	Pi + yo combo.	Yō-on	consonant + ya/yu/yo → ぴょ	sound: /pyo/	palatal variant of p		[sound:220216f18a88.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
